,index,Город / Нас.пункт,GPS. Широта,GPS. Долгота,номер,город,links
20,24,якутск,62.021395,129.706495,74,Якутск,"['https://yandex.ru/maps/74/jakutsk/search/DNS/?ll=129.706495,62.021395&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/m_video/?ll=129.706495,62.021395&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/megafon/?ll=129.706495,62.021395&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/mts/?ll=129.706495,62.021395&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/svyaznoy/?ll=129.706495,62.021395&rspn=1&spn=0.003,0.003']"
21,25,якутск,62.037266,129.718775,74,Якутск,"['https://yandex.ru/maps/74/jakutsk/search/DNS/?ll=129.718775,62.037266&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/m_video/?ll=129.718775,62.037266&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/megafon/?ll=129.718775,62.037266&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/mts/?ll=129.718775,62.037266&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/svyaznoy/?ll=129.718775,62.037266&rspn=1&spn=0.003,0.003']"
22,26,якутск,62.032488,129.744413,74,Якутск,"['https://yandex.ru/maps/74/jakutsk/search/DNS/?ll=129.744413,62.032488&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/m_video/?ll=129.744413,62.032488&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/megafon/?ll=129.744413,62.032488&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/mts/?ll=129.744413,62.032488&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/svyaznoy/?ll=129.744413,62.032488&rspn=1&spn=0.003,0.003']"
23,27,якутск,62.060711,129.741329,74,Якутск,"['https://yandex.ru/maps/74/jakutsk/search/DNS/?ll=129.741329,62.060711&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/m_video/?ll=129.741329,62.060711&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/megafon/?ll=129.741329,62.060711&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/mts/?ll=129.741329,62.060711&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/svyaznoy/?ll=129.741329,62.060711&rspn=1&spn=0.003,0.003']"
24,28,якутск,62.068205,129.742787,74,Якутск,"['https://yandex.ru/maps/74/jakutsk/search/DNS/?ll=129.742787,62.068205&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/m_video/?ll=129.742787,62.068205&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/megafon/?ll=129.742787,62.068205&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/mts/?ll=129.742787,62.068205&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/svyaznoy/?ll=129.742787,62.068205&rspn=1&spn=0.003,0.003']"
25,29,якутск,62.03221,129.74281,74,Якутск,"['https://yandex.ru/maps/74/jakutsk/search/DNS/?ll=129.74281,62.03221&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/m_video/?ll=129.74281,62.03221&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/megafon/?ll=129.74281,62.03221&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/mts/?ll=129.74281,62.03221&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/svyaznoy/?ll=129.74281,62.03221&rspn=1&spn=0.003,0.003']"
26,30,якутск,62.027203,129.715977,74,Якутск,"['https://yandex.ru/maps/74/jakutsk/search/DNS/?ll=129.715977,62.027203&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/m_video/?ll=129.715977,62.027203&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/megafon/?ll=129.715977,62.027203&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/mts/?ll=129.715977,62.027203&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/svyaznoy/?ll=129.715977,62.027203&rspn=1&spn=0.003,0.003']"
27,31,якутск,62.030724,129.737931,74,Якутск,"['https://yandex.ru/maps/74/jakutsk/search/DNS/?ll=129.737931,62.030724&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/m_video/?ll=129.737931,62.030724&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/megafon/?ll=129.737931,62.030724&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/mts/?ll=129.737931,62.030724&rspn=1&spn=0.003,0.003', 'https://yandex.ru/maps/74/jakutsk/search/svyaznoy/?ll=129.737931,62.030724&rspn=1&spn=0.003,0.003']"
28,32,архангельск,64.532377,40.528734,20,Архангельск,"[""https://yandex.ru/maps/20/arhangel'sk/search/DNS/?ll=40.528734,64.532377&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/m_video/?ll=40.528734,64.532377&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/megafon/?ll=40.528734,64.532377&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/mts/?ll=40.528734,64.532377&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/svyaznoy/?ll=40.528734,64.532377&rspn=1&spn=0.003,0.003""]"
29,33,архангельск,64.539266,40.526344,20,Архангельск,"[""https://yandex.ru/maps/20/arhangel'sk/search/DNS/?ll=40.526344,64.539266&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/m_video/?ll=40.526344,64.539266&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/megafon/?ll=40.526344,64.539266&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/mts/?ll=40.526344,64.539266&rspn=1&spn=0.003,0.003"", ""https://yandex.ru/maps/20/arhangel'sk/search/svyaznoy/?ll=40.526344,64.539266&rspn=1&spn=0.003,0.003""]"
